,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Predicted
0,1,337,118,4,4.5,4.5,9.65,1,0.92,0.95764839614219
1,2,324,107,4,4.0,4.5,8.87,1,0.76,0.8002451636270358
2,3,316,104,3,3.0,3.5,8.0,1,0.72,0.636991019302175
3,4,322,110,3,3.5,2.5,8.67,1,0.8,0.7287207072468891
4,5,314,103,2,2.0,3.0,8.21,0,0.65,0.6436502036861129
5,6,330,115,5,4.5,3.0,9.34,1,0.9,0.8590018486182602
6,7,321,109,3,3.0,4.0,8.2,1,0.75,0.6978844657988845
7,8,308,101,2,3.0,4.0,7.9,0,0.68,0.6104230188704438
8,9,302,102,1,2.0,1.5,8.0,0,0.5,0.5511064906187646
9,10,323,108,3,3.5,3.0,8.6,0,0.45,0.7290954663872036
10,11,325,106,3,3.5,4.0,8.4,1,0.52,0.7267775608275406
11,12,327,111,4,4.0,4.5,9.0,1,0.84,0.8333325747717502
12,13,328,112,4,4.0,4.5,9.1,1,0.78,0.8509051436666644
13,14,307,109,3,4.0,3.0,8.0,1,0.62,0.6179098156495919
14,15,311,104,3,3.5,2.0,8.2,1,0.61,0.6167687173338443
15,16,314,105,3,3.5,2.5,8.3,0,0.54,0.6507549023438415
16,17,317,107,3,4.0,3.0,8.7,0,0.66,0.7267275820039028
17,18,319,106,3,4.0,3.0,8.0,1,0.65,0.6385051570992868
18,19,318,110,3,4.0,3.0,8.8,0,0.63,0.74898840575276
19,20,303,102,3,3.5,3.0,8.5,0,0.62,0.6560583644506357
20,21,312,107,3,3.0,2.0,7.9,1,0.64,0.5864610427025494
21,22,325,114,4,3.0,2.0,8.4,0,0.7,0.697430624518137
22,23,328,116,5,5.0,5.0,9.5,1,0.94,0.9255231209999328
23,24,334,119,5,5.0,4.5,9.7,1,0.95,0.9604126319669541
24,25,336,119,5,4.0,3.5,9.8,1,0.97,0.9525974452553205
25,26,340,120,5,4.5,4.5,9.6,1,0.94,0.9627805163502554
26,27,322,109,5,4.5,3.5,8.8,0,0.76,0.7685264888145555
27,28,298,98,2,1.5,2.5,7.5,1,0.44,0.4906441011167617
28,29,295,93,1,2.0,2.0,7.2,0,0.46,0.42229311783667645
29,30,310,99,2,1.5,2.0,7.3,0,0.54,0.48295469446690875
30,31,300,97,2,3.0,3.0,8.1,1,0.65,0.5848622980029745
31,32,327,103,3,4.0,4.0,8.3,1,0.74,0.7122876417632513
32,33,338,118,4,3.0,4.5,9.4,1,0.91,0.9250434573046791
